seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
0,10,-0.0148606,-7000000.03050201,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,20,-0.0148606,-7000000.02980364,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,30,-0.0148606,-2000000.02984543,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,40,-0.0148606,-3000000.02887587,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,50,-0.0148606,-3000000.03017124,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,60,-0.0148606,-9000000.03035499,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,70,-0.0148606,-4000000.02970867,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,80,-0.0148606,-2000000.03025077,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,90,-0.0148606,-5000000.03098948,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,100,-0.0148606,-6000000.03085387,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,110,-0.0148606,-5000000.03058933,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,120,-0.0148606,-4000000.03012125,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,130,-0.0148606,-5000000.03101628,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,140,-0.0148606,-9000000.02909404,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,150,-0.0148606,-5000000.03114911,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,160,-0.0148606,-8000000.02996519,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,170,-0.0148606,-2000000.02969241,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,180,-0.0148606,-0.03039179,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,190,-0.0148606,-7000000.03061095,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,200,-0.0148606,-2000000.03046497,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,210,-0.0148606,-3000000.031066,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,220,-0.0148606,-5000000.0289571,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,230,-0.0148606,-3000000.03020869,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,240,-0.0148606,-10000000.02918042,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,250,-0.0148606,-4000000.03056119,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,260,-0.0148606,-6000000.03001405,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,270,-0.0148606,-4000000.02966278,(-1 - -1),3,0.3485,0.0,0.0,0.015
0,280,-0.0148606,-3000000.03005438,(-1 - -1),3,0.3485,0.0,0.0,0.015
