seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
0,10,-0.01370718,-6000000.03572387,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,20,-0.01370718,-2000000.0384903,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,30,-0.01171631,-2000000.03892817,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,40,-0.01171631,-6000000.04068308,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,50,-0.01171631,-5000000.03949714,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,60,-0.01171631,-4000000.04128251,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,70,-0.01171631,-2000000.04310049,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,80,-0.01171631,-4000000.04210272,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,90,-0.01171631,-6000000.04322573,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,100,-0.01171631,-3000000.04415262,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,110,-0.01171631,-2000000.04221741,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,120,-0.01171631,-1000000.04352809,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,130,-0.01171631,-3000000.04328462,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,140,-0.01171631,-4000000.04133735,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,150,-0.01171631,-2000000.04261007,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,160,-0.01171631,-6000000.04235323,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,170,-0.01171631,-4000000.04335197,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,180,-0.01171631,-6000000.04107542,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,190,-0.01171631,-3000000.04270721,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,200,-0.01171631,-4000000.04216348,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
0,210,-0.01171631,-1000000.04287643,((1 - k) ^ (-3)),6,6.3168,0.3,0.6262,0.03
