seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
0,10,-0.01370718,-4000000.03700062,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,20,-0.01370718,-3000000.03696529,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,30,-0.01370718,-5000000.03732239,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,40,-0.01370718,-7000000.037709,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,50,-0.01370718,-7000000.03794299,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,60,-0.01370718,-3000000.03761829,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,70,-0.01370718,-3000000.0387009,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,80,-0.01370718,-5000000.0384364,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,90,-0.01370718,-3000000.03659231,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,100,-0.01370718,-8000000.03693243,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,110,-0.01370718,-3000000.03772846,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,120,-0.01370718,-7000000.03813957,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,130,-0.01370718,-7000000.03770374,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,140,-0.01370718,-5000000.03853906,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,150,-0.01370718,-1000000.03897967,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,160,-0.01370718,-6000000.03716322,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,170,-0.01370718,-5000000.03541788,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,180,-0.01370718,-5000000.0378249,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,190,-0.01370718,-4000000.03785547,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,200,-0.01370718,-2000000.03772149,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,210,-0.01370718,-5000000.03651844,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,220,-0.01370718,-4000000.03895738,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,230,-0.01370718,-6000000.03853815,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,240,-0.01370718,-3000000.03902901,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,250,-0.01370718,-6000000.03789358,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,260,-0.01370718,-5000000.03615879,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,270,-0.01370718,-6000000.03703624,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,280,-0.01370718,-9000000.03808788,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,290,-0.01370718,-6000000.03819809,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,300,-0.01370718,-2000000.03640641,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,310,-0.01370718,-8000000.03764475,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,320,-0.01370718,-4000000.03683432,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,330,-0.01370718,-7000000.03752463,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,340,-0.01370718,-4000000.03631654,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,350,-0.01370718,-4000000.03790303,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,360,-0.01370718,-4000000.0373417,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,370,-0.01370718,-5000000.03726121,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,380,-0.01370718,-4000000.03860571,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,390,-0.01370718,-6000000.03859651,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,400,-0.01370718,-6000000.0373243,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,410,-0.01370718,-6000000.03722706,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,420,-0.01370718,-3000000.03681129,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,430,-0.01370718,-2000000.03917253,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,440,-0.01370718,-6000000.03776054,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,450,-0.01370718,-2000000.03770755,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,460,-0.01370718,-5000000.03789387,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,470,-0.01370718,-6000000.03921822,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,480,-0.01370718,-6000000.03656012,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,490,-0.01370718,-6000000.03588724,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,500,-0.01370718,-4000000.0391922,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,510,-0.01370718,-4000000.03585877,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,520,-0.01370718,-5000000.03739213,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,530,-0.01370718,-5000000.03855021,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,540,-0.01370718,-1000000.03879904,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,550,-0.01370718,-2000000.03760491,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,560,-0.01370718,-4000000.03763542,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,570,-0.01370718,-6000000.03670022,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,580,-0.01370718,-2000000.03719815,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,590,-0.01370718,-4000000.03820775,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,600,-0.01370718,-2000000.03876682,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,610,-0.01370718,-8000000.03678713,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,620,-0.01370718,-4000000.03761645,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,630,-0.01370718,-3000000.03736289,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,640,-0.01370718,-3000000.03842166,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,650,-0.01370718,-5000000.03711171,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,660,-0.01370718,-7000000.03729599,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
0,670,-0.01370718,-5000000.03835555,(-(-1 ^ k)),4,0.3485,0.1,0.3589,0.02
