generation,best_gen,best_ever,mean_fitness,greedy_fitness,mean_certainty,t_eval_max,elapsed
77,-0.00012616,-6.457e-05,-0.02488114,-1.3652953,0.46014,10,2.39
78,-0.00054249,-6.457e-05,-0.02969183,-0.63603654,0.4623,10,2.42
79,-0.00059639,-6.457e-05,-0.02228576,-0.68732557,0.46496,10,2.45
80,-7.611e-05,-6.457e-05,-0.0190379,-0.45493093,0.46747,10,2.48
81,-0.00017909,-6.457e-05,-0.01785178,-0.57029643,0.4701,10,2.51
82,-0.00024654,-6.457e-05,-0.01806666,-0.5483422,0.47187,10,2.54
83,-0.00027392,-6.457e-05,-0.01570606,-0.5467319,0.47443,10,2.57
84,-0.00021079,-6.457e-05,-0.0147153,-0.54623963,0.47498,10,2.6
85,-6.5e-05,-6.457e-05,-0.01020468,-0.34603837,0.47699,10,2.63
86,-0.00012284,-6.457e-05,-0.01435934,-0.39926544,0.4784,10,2.66
87,-0.00012641,-6.457e-05,-0.02057311,-0.35272021,0.48019,10,2.69
88,-0.00014656,-6.457e-05,-0.01307695,-0.5633481,0.48093,10,2.72
89,-0.00013022,-6.457e-05,-0.00966291,-0.56038877,0.48418,10,2.75
90,-0.0002219,-6.457e-05,-0.0186999,-0.53032738,0.48814,10,2.78
91,-0.00013022,-6.457e-05,-0.01030942,-0.56203219,0.49224,10,2.83
92,-0.00013022,-6.457e-05,-0.00908207,-0.23951758,0.4939,10,2.88
93,-0.00021489,-6.457e-05,-0.00929682,-0.473636,0.49707,10,2.91
94,-0.00013022,-6.457e-05,-0.01139834,-0.58453831,0.4979,10,2.94
95,-7.66e-05,-6.457e-05,-0.01349097,-0.45323879,0.50178,10,2.97
96,-8.353e-05,-6.457e-05,-0.02314766,-0.43674108,0.50676,10,3.01
97,-0.00014241,-6.457e-05,-0.01082995,-0.4665158,0.50918,10,3.04
98,-0.00010124,-6.457e-05,-0.01981616,-0.45238011,0.51248,10,3.07
99,-0.00010892,-6.457e-05,-0.01491766,-0.51331609,0.51405,10,3.1
100,-7.611e-05,-6.457e-05,-0.02056382,-0.51648666,0.51643,10,3.13
101,-7.956e-05,-6.457e-05,-0.0041933,-0.49072358,0.51977,10,3.16
102,-6.173e-05,-6.173e-05,-0.00691856,-0.51946241,0.52335,10,3.19
103,-7.611e-05,-6.173e-05,-0.00704931,-0.59245917,0.52634,10,3.22
104,-6.904e-05,-6.173e-05,-0.00751769,-0.51879363,0.52881,10,3.25
105,-6.173e-05,-6.173e-05,-0.01099353,-0.55626674,0.53024,10,3.28
106,-7.611e-05,-6.173e-05,-0.01561305,-0.27458444,0.53204,10,3.31
107,-8.92e-05,-6.173e-05,-0.0178725,-0.18594657,0.53378,10,3.34
108,-8.92e-05,-6.173e-05,-0.00823703,-0.1573607,0.53161,10,3.37
109,-7.611e-05,-6.173e-05,-0.00831354,-0.26471753,0.53485,10,3.4
110,-7.611e-05,-6.173e-05,-0.00492031,-0.14043565,0.53658,10,3.43
111,-8.92e-05,-6.173e-05,-0.01204187,-0.27134436,0.53946,10,3.46
112,-7.611e-05,-6.173e-05,-0.00811956,-0.14267189,0.54179,10,3.49
113,-7.611e-05,-6.173e-05,-0.00218399,-0.18463604,0.54328,10,3.52
114,-7.611e-05,-6.173e-05,-0.00311113,-0.13043534,0.5428,10,3.55
115,-6.457e-05,-6.173e-05,-0.00238831,-0.26797514,0.54267,10,3.58
116,-8.92e-05,-6.173e-05,-0.00784935,-0.17295901,0.54183,10,3.61
117,-8.92e-05,-6.173e-05,-0.00543236,-0.2730156,0.54069,10,3.64
118,-7.956e-05,-6.173e-05,-0.00389042,-0.64831058,0.54374,10,3.67
119,-7.611e-05,-6.173e-05,-0.00413354,-0.65343587,0.54399,10,3.7
120,-8.92e-05,-6.173e-05,-0.00357089,-0.26580739,0.547,10,3.73
121,-8.92e-05,-6.173e-05,-0.02518455,-0.18523612,0.54983,10,3.76
122,-8.92e-05,-6.173e-05,-0.01694073,-0.19543872,0.55055,10,3.79
123,-8.92e-05,-6.173e-05,-0.00428117,-0.199466,0.55281,10,3.82
124,-6.457e-05,-6.173e-05,-0.00573211,-0.21601804,0.55349,10,3.86
125,-8.92e-05,-6.173e-05,-0.00571364,-0.21532201,0.55546,10,3.89
126,-8.92e-05,-6.173e-05,-0.02186716,-0.21532201,0.55538,10,3.92
127,-8.92e-05,-6.173e-05,-0.01007378,-0.21954038,0.55392,10,3.95
128,-8.92e-05,-6.173e-05,-0.01029674,-0.16853801,0.55418,10,3.98
129,-8.92e-05,-6.173e-05,-0.00268362,-0.16853801,0.55516,10,4.01
130,-8.92e-05,-6.173e-05,-0.00437266,-0.15652238,0.55658,10,4.04
131,-8.92e-05,-6.173e-05,-0.0025989,-0.17837617,0.558,10,4.07
132,-8.92e-05,-6.173e-05,-0.00806906,-0.15151403,0.56118,10,4.1
