episode,return
1,-0.10472719043965292
2,-0.4470099040710409
3,-0.3180790139342451
4,-0.7876593889670845
5,-1.0139047670080048
6,-0.3391601811838676
7,-0.046608444658663976
8,-0.6072900162840261
9,-0.6728864265640804
10,-0.3134221952428603
11,-0.4931223925969625
12,-1.3474263679658078
13,-1.2163929381324223
14,-1.6193594148392119
15,-0.37689629272573
16,-1.7114518042252436
17,-0.9167168555156349
18,-0.862123712481015
19,-0.37337798835280867
20,-0.5022014732109862
21,-0.23655366923806487
22,-0.11164072137871166
23,-0.27867756198088295
24,-0.3883916283382399
25,-0.8896097491355961
26,-0.08244807302592613
27,-0.15786480088517674
28,-0.883950773715343
29,-1.6873947853360907
30,-1.3273996980054519
31,-0.10765347512113041
32,-1.1679994357756018
33,-1.4420218402785316
34,-1.852627353682586
35,-0.29022562586164585
36,-1.7719505813799963
37,-0.25894372977706603
38,-0.41038261171651663
39,-0.9887799206336897
40,-1.8826390758947324
41,-0.7067901299174242
42,-2.205109421346015
43,-0.18532279307664934
44,-0.4006839058747262
45,-0.11259197945733097
46,-0.9712295593732218
47,-1.781927442322312
48,-1.112063468360283
49,-0.3569853535600325
50,-0.9000657826243793
51,-0.13003959148225122
52,-0.5639960957946192
53,-0.7400004764433561
54,-0.49352307003363005
55,-0.7904877689867933
56,-0.9468013745694613
57,-2.898734035053089
58,-1.3867604929589992
59,-0.22252868428237754
60,-2.5535343370197365
61,-1.2618594484678503
62,-0.5806520764558288
63,-0.6177613297214025
64,-1.4658638108058317
65,-0.8536649065617182
66,-2.089792872124902
67,-2.1996062942805548
68,-0.987582740199831
69,-0.39489944731608234
70,-0.285115694208316
71,-1.8043555831637412
72,-1.142191909267995
73,-1.0291452906476979
74,-0.678182963215888
75,-0.06267478700554614
76,-0.4077424638603143
77,-1.2903608119411178
78,-0.24768180272157847
79,-0.98484702235742
80,-0.8142381586329148
81,-0.6355329173499814
82,-0.12168902980780166
83,-1.031035677814101
84,-2.471936554505227
85,-1.4102895236001127
86,-0.46019997782412153
87,-1.1533369080431926
88,-0.08513734891339537
89,-1.5494407702944963
90,-2.6250816724122723
91,-0.9812377902897093
92,-0.032904234809883706
93,-1.2541014142932692
94,-0.8764828792227187
95,-1.5422495938377438
96,-0.763512229776097
97,-0.7113982744161682
98,-0.07066421469364992
99,-0.03509492682450985
100,-0.0073813084021276615
101,-0.9138977076996451
102,-0.6344841573999047
103,-0.9007685031112074
104,-0.05309315873306743
105,-0.14320691544418654
106,-0.4089101039380049
107,-1.9038637119074948
108,-0.008940688025409996
109,-0.9092950321269608
110,-0.8390958146479092
111,-0.7131010445239581
112,-0.5972872719563069
113,-0.15511073676986314
114,-0.9314263078757202
115,-0.071254828931639
116,-0.5206583550833427
117,-0.49626029769136787
118,-0.0753825623821913
119,-0.5057971355037789
120,-1.7170385317779389
121,-1.0428513030547806
122,-0.8911322778814023
123,-1.8828648933353318
124,-0.26510003290572937
125,-0.9174678456303856
126,-0.644881125088193
127,-2.0445099906985083
128,-1.0321555123053334
129,-1.9847064213975334
130,-1.7061650879929624
131,-0.19171442919561402
132,-1.3883789793988688
133,-0.8932128029923089
134,-1.0011063947400307
135,-0.14030281859190302
136,-1.0495639928966205
137,-0.46730575318036105
138,-0.7493491258592214
139,-1.5290116764377197
140,-0.21630822960973942
141,-0.36525355162417
142,-1.233071041481628
143,-0.6369982489843659
144,-1.1539271251763341
145,-0.3551639206894442
146,-0.26853368356558466
147,-0.5233040938901855
148,-1.1417927128125458
149,-0.10474510053663805
150,-0.830301184844715
151,-1.1254083625197175
152,-0.11591281555197004
153,-0.17686257150105947
154,-1.1864462576494097
155,-0.7621877667507575
156,-0.6935180960005843
157,-0.8019059079456984
158,-1.1364601789776043
159,-0.9189004875756468
160,-0.8934470381839714
161,-2.0238094350419824
162,-1.282374064643876
163,-0.20843352973293058
164,-0.6309362326177765
165,-0.4291737163909821
166,-1.4221880736072094
167,-1.2067381541445175
168,-1.3727152027854592
169,-0.4707411626315578
170,-0.6043891105866362
171,-0.1509569019128505
172,-2.5268799831582287
173,-0.3563161101552827
174,-1.7214392080094583
175,-0.5139035336143307
176,-0.15829988915130305
177,-0.8648574423396281
178,-0.1460566539075808
179,-0.8030544822627101
180,-0.15664883250076186
181,-0.7368781979893059
182,-1.1034511217020535
183,-1.0174027251469808
184,-0.7220483725431429
185,-0.1433507150107866
186,-1.1050422831665907
187,-0.11195527645268269
188,-1.1202262098879145
189,-0.819717349430283
190,-0.22604904276986837
191,-1.2376720898892837
192,-0.3600054860767987
193,-0.32771697639742703
194,-0.4056101303062676
195,-2.042972972352671
196,-0.5601680791470985
197,-0.3927947165474903
198,-1.756657258645388
199,-0.6207428888554294
200,-0.685685503591718
201,-0.8548133727554048
202,-0.8370944480701533
203,-0.15708688548019384
204,-0.670900710935513
205,-0.1371084749449224
206,-0.998898852345561
207,-1.968578162345639
208,-0.6700020227593528
209,-1.6648616027257124
210,-0.640735499203364
211,-1.4585913126435963
212,-0.3525508266445751
213,-0.12031807052438957
214,-1.113678271575532
215,-0.7279371262891351
216,-0.7629875894239432
217,-0.40605683960519945
218,-0.927288699852115
219,-0.11520345281267964
220,-1.9760985316052266
221,-0.06946256364221622
222,-0.7841364815444293
223,-0.2521495355551153
224,-0.40309603872180627
225,-0.559301023523172
226,-0.6070420015831165
227,-0.5554272302890829
228,-0.48925306820604214
229,-1.0820002033882703
230,-0.6547289558190853
231,-0.9813797510119289
232,-0.6912418137405196
233,-0.7550412838441706
234,-0.785676338817538
235,-0.7102246315207529
236,-0.08043575093334199
237,-0.04527801672648041
238,-0.12934703535584371
239,-0.7676057817392515
240,-0.9367189078016176
241,-0.9940799382277588
242,-0.35841173918627944
243,-0.09245081735364495
244,-0.6341923886078965
245,-1.4866382414949437
246,-1.2890437665839498
247,-0.3266154956310674
248,-1.304036576481501
249,-0.9363731320424968
250,-0.7572499212864103
251,-0.2757729730588727
252,-0.0732377691834537
253,-1.375609627347049
254,-0.49706512051913526
255,-1.0178605484761392
256,-0.749082069706466
257,-0.22602707859727084
258,-0.30603966455408615
259,-1.3796750237891735
260,-0.06216423540813471
261,-0.38728848116516545
262,-0.6522958523857786
263,-0.386225017150715
264,-1.1196596345054841
265,-0.9003383514491431
266,-0.03806727985906941
267,-1.0627861792944164
268,-2.3690433418271755
269,-1.5336424506270392
270,-0.9026921240612374
271,-1.0004113603345048
272,-0.04382418700079315
273,-1.0236958638630944
274,-1.2681784350891343
275,-1.3922246620390781
276,-0.6374854123323557
277,-1.300550549781015
278,-0.936382320479255
279,-0.38817373652384146
280,-0.4561544317847621
281,-0.43880161433034076
282,-0.7701272397729539
283,-0.15234941335217195
284,-0.25465983579163076
285,-1.2010806597054828
286,-0.23151070195172907
287,-0.4837622171341826
288,-0.6544326957990863
289,-0.8382453178210398
290,-0.7289431667505765
291,-1.2442538100039648
292,-1.0736943397892613
293,-0.6043463881634052
294,-0.015678249042912918
295,-0.4726352012328662
296,-0.1166665280501359
297,-0.9964542052026311
298,-0.4369910288512553
299,-0.47487751884538865
300,-0.3819688684440274
301,-0.9766992774323988
302,-1.5236632381522992
303,-0.4804808415022305
304,-1.734110469974013
305,-2.052635174008749
306,-1.1222749672845729
307,-0.021824134309866287
308,-0.6272501103910881
309,-0.5366049730052619
310,-0.20900349301675414
311,-0.7654626567216349
312,-1.9018888436704302
313,-0.25653833156707523
314,-0.3482615475475723
315,-0.022186641154106033
316,-0.905885867515166
317,-0.47413756917022254
318,-0.43280162456649457
319,-0.6393710210557517
320,-0.18506464949555204
321,-0.300928756977094
322,-0.12952072750623378
323,-0.5889767540886338
324,-1.3273760562547412
325,-0.3117013380489215
326,-1.5819914403339146
327,-0.7338112862228283
328,-1.3199695491007382
329,-0.4445973322971756
330,-2.260729406859671
331,-0.5365930415667715
332,-0.5281209660754028
333,-1.2751795395274155
334,-0.5961596320890482
335,-0.23561355224937355
336,-0.6805685296464824
337,-0.4299510706398594
338,-0.20160347253441072
339,-0.5217363767736186
340,-0.8071422305852874
341,-1.103403238007579
342,-0.2726496741083545
343,-0.9414317502780211
344,-0.42590477349362343
345,-0.5431089763263249
346,-0.8926031716323191
347,-1.109213950802617
348,-0.5607243643830743
349,-0.9332475553208127
350,-0.9332064600626103
351,-1.6638465835618417
352,-0.6745172097575713
353,-0.03438639071985974
354,-2.5930294102171945
355,-0.7359153339603379
356,-0.5257970265624519
357,-2.229853322572905
358,-0.4175238111225399
359,-0.5366712953572661
360,-0.1773568309401378
361,-0.055578655869713875
362,-0.08957995901500228
363,-1.4516936861550156
364,-0.4887494272742231
365,-0.3927070843694668
366,-0.7296884605422298
367,-1.1737266681839764
368,-0.680065223429181
369,-0.7530469640835948
370,-0.7167332771332358
371,-0.22438016451171286
372,-0.6105034555363789
373,-0.3817275203044134
374,-0.6480783494843831
375,-0.012653308592789968
376,-0.06372748093066505
377,-0.5434474509611301
378,-0.17176841267189508
379,-1.4211307858587339
380,-0.8186479840595067
381,-0.18698509147267228
382,-0.03610671854740858
383,-0.7821688845869877
384,-0.8285900949063492
385,-0.019622997523433022
386,-0.012793591736895793
387,-0.5193584648052265
388,-0.31244568591120997
389,-0.8979875258876459
390,-1.085832005847877
391,-0.31279332467394005
392,-1.215426525085399
393,-0.5673969348903741
394,-0.282821897995453
395,-0.5025854334848028
396,-0.47752117470355426
397,-0.8653694888405257
398,-0.8456695439610681
399,-0.39384145222769085
400,-1.1252554219738364
401,-0.8280156460720982
402,-0.5096248550536654
403,-0.5988432897614362
404,-0.7528916870877468
405,-0.5837960145328718
406,-0.9268224709538782
407,-0.4474143336139687
408,-0.9719573615758872
409,-0.19951035061664027
410,-0.4049938686710603
411,-0.8645380550234669
412,-0.7126037411243812
413,-1.3080943753658179
414,-0.5531429413391938
415,-1.200056673816428
416,-0.7759948206503603
417,-0.10522146673559411
418,-0.187373535501498
419,-0.841848422090838
420,-1.3613266135797144
421,-0.22580642515777133
422,-1.0911716265475306
423,-0.8406660416626944
424,-0.15500780210881995
425,-0.4849515921920145
426,-0.6014104266659592
427,-0.08227019242274262
428,-0.15297382705516832
429,-0.8643804433520585
430,-0.7480636208192643
431,-1.4668723731427364
432,-0.026081688470008503
