seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
0,10,-0.0298606,-7000000.04750856,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,20,-0.0298606,-5000000.04754999,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,30,-0.0298606,-3000000.04712165,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,40,-0.0298606,-2000000.04706489,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,50,-0.0298606,-1000000.04815328,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,60,-0.0298606,-6000000.04794517,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,70,-0.0298606,-4000000.04761934,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,80,-0.0298606,-7000000.04665119,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,90,-0.0298606,-4000000.04746016,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,100,-0.0298606,-9000000.04643827,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,110,-0.0298606,-4000000.04722922,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,120,-0.0298606,-7000000.04762122,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,130,-0.0298606,-4000000.04897929,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,140,-0.0298606,-6000000.04819508,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,150,-0.0298606,-5000000.04858881,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,160,-0.0298606,-5000000.04745072,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,170,-0.0298606,-7000000.04781484,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,180,-0.0298606,-5000000.04743728,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,190,-0.0298606,-3000000.04745642,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,200,-0.0298606,-4000000.04838643,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,210,-0.0298606,-6000000.04651254,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,220,-0.0298606,-4000000.0458884,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,230,-0.0298606,-4000000.04731585,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,240,-0.0298606,-6000000.04684381,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,250,-0.0298606,-5000000.04913506,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,260,-0.0298606,-8000000.04689167,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,270,-0.0298606,-4000000.04718168,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,280,-0.0298606,-5000000.0479895,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,290,-0.0298606,-1000000.04821216,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,300,-0.0298606,-4000000.05019885,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,310,-0.0298606,-0.04913961,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,320,-0.0298606,-4000000.04664104,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,330,-0.0298606,-5000000.04742904,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,340,-0.0298606,-6000000.04580183,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,350,-0.0298606,-5000000.04818925,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,360,-0.0298606,-5000000.04802739,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,370,-0.0298606,-6000000.04845652,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,380,-0.0298606,-7000000.04875318,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,390,-0.0298606,-1000000.04890833,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,400,-0.0298606,-4000000.04799128,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,410,-0.0298606,-6000000.04837896,(-1 - -1),3,0.3485,0.0,0.0,0.03
0,420,-0.0298606,-1000000.04833853,(-1 - -1),3,0.3485,0.0,0.0,0.03
