level,seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
1,0,10,-0.0048606,-1000000.01182608,0,1,0.3485,0.0,0.0,0.005
1,0,20,-0.0048606,-2000000.01200169,0,1,0.3485,0.0,0.0,0.005
1,0,30,-0.0048606,-1000000.01239106,0,1,0.3485,0.0,0.0,0.005
1,0,40,-0.0048606,-0.01227031,0,1,0.3485,0.0,0.0,0.005
1,0,50,-0.0048606,-0.01200829,0,1,0.3485,0.0,0.0,0.005
1,0,60,-0.0048606,-3000000.01131467,0,1,0.3485,0.0,0.0,0.005
1,0,70,-0.0048606,-2000000.01153154,0,1,0.3485,0.0,0.0,0.005
1,0,80,-0.0048606,-3000000.01181565,0,1,0.3485,0.0,0.0,0.005
1,0,90,-0.0048606,-0.01192455,0,1,0.3485,0.0,0.0,0.005
1,0,100,-0.0048606,-1000000.01249648,0,1,0.3485,0.0,0.0,0.005
1,0,110,-0.0048606,-0.01198114,0,1,0.3485,0.0,0.0,0.005
1,0,120,-0.0048606,-4000000.01208133,0,1,0.3485,0.0,0.0,0.005
1,0,130,-0.0048606,-1000000.01199808,0,1,0.3485,0.0,0.0,0.005
1,0,140,-0.0048606,-1000000.01252813,0,1,0.3485,0.0,0.0,0.005
1,0,150,-0.0048606,-1000000.01243,0,1,0.3485,0.0,0.0,0.005
1,0,160,-0.0048606,-2000000.01186893,0,1,0.3485,0.0,0.0,0.005
1,0,170,-0.0048606,-1000000.01135671,0,1,0.3485,0.0,0.0,0.005
1,0,180,-0.0048606,-1000000.012379,0,1,0.3485,0.0,0.0,0.005
1,0,190,-0.0048606,-1000000.01172157,0,1,0.3485,0.0,0.0,0.005
1,0,200,-0.0048606,-5000000.01160358,0,1,0.3485,0.0,0.0,0.005
1,0,210,-0.0048606,-2000000.01156287,0,1,0.3485,0.0,0.0,0.005
1,0,220,-0.0048606,-3000000.01190749,0,1,0.3485,0.0,0.0,0.005
1,0,230,-0.0048606,-2000000.0127434,0,1,0.3485,0.0,0.0,0.005
1,0,240,-0.0048606,-1000000.01219364,0,1,0.3485,0.0,0.0,0.005
1,0,250,-0.0048606,-2000000.01209588,0,1,0.3485,0.0,0.0,0.005
1,0,260,-0.0048606,-2000000.01164927,0,1,0.3485,0.0,0.0,0.005
1,0,270,-0.0048606,-1000000.01134983,0,1,0.3485,0.0,0.0,0.005
1,0,280,-0.0048606,-1000000.01135478,0,1,0.3485,0.0,0.0,0.005
1,0,290,-0.0048606,-1000000.01073573,0,1,0.3485,0.0,0.0,0.005
1,0,300,-0.0048606,-0.01214589,0,1,0.3485,0.0,0.0,0.005
1,0,310,-0.0048606,-1000000.01139682,0,1,0.3485,0.0,0.0,0.005
1,0,320,-0.0048606,-0.01188584,0,1,0.3485,0.0,0.0,0.005
1,0,330,-0.0048606,-2000000.01203323,0,1,0.3485,0.0,0.0,0.005
1,0,340,-0.0048606,-2000000.01277956,0,1,0.3485,0.0,0.0,0.005
1,0,350,-0.0048606,-1000000.0122128,0,1,0.3485,0.0,0.0,0.005
1,0,360,-0.0048606,-1000000.01136008,0,1,0.3485,0.0,0.0,0.005
1,0,370,-0.0048606,-1000000.01228627,0,1,0.3485,0.0,0.0,0.005
1,0,380,-0.0048606,-1000000.01249177,0,1,0.3485,0.0,0.0,0.005
1,0,390,-0.0048606,-1000000.01287703,0,1,0.3485,0.0,0.0,0.005
1,0,400,-0.0048606,-0.01236274,0,1,0.3485,0.0,0.0,0.005
1,0,410,-0.0048606,-0.01216097,0,1,0.3485,0.0,0.0,0.005
1,0,420,-0.0048606,-1000000.01222777,0,1,0.3485,0.0,0.0,0.005
1,0,430,-0.0048606,-2000000.01278845,0,1,0.3485,0.0,0.0,0.005
1,0,440,-0.0048606,-1000000.01263389,0,1,0.3485,0.0,0.0,0.005
1,0,450,-0.0048606,-1000000.01284707,0,1,0.3485,0.0,0.0,0.005
1,0,460,-0.0048606,-1000000.01204629,0,1,0.3485,0.0,0.0,0.005
1,0,470,-0.0048606,-1000000.01143139,0,1,0.3485,0.0,0.0,0.005
1,0,480,-0.0048606,-2000000.01264697,0,1,0.3485,0.0,0.0,0.005
1,0,490,-0.0048606,-0.01172921,0,1,0.3485,0.0,0.0,0.005
1,0,500,-0.0048606,-0.0126228,0,1,0.3485,0.0,0.0,0.005
1,0,510,-0.0048606,-1000000.01152691,0,1,0.3485,0.0,0.0,0.005
1,0,520,-0.0048606,-1000000.01224623,0,1,0.3485,0.0,0.0,0.005
1,0,530,-0.0048606,-2000000.01252746,0,1,0.3485,0.0,0.0,0.005
1,0,540,-0.0048606,-2000000.0118123,0,1,0.3485,0.0,0.0,0.005
1,0,550,-0.0048606,-1000000.01144809,0,1,0.3485,0.0,0.0,0.005
1,0,560,-0.0048606,-2000000.01235012,0,1,0.3485,0.0,0.0,0.005
1,0,570,-0.0048606,-2000000.01178052,0,1,0.3485,0.0,0.0,0.005
1,0,580,-0.0048606,-1000000.01208056,0,1,0.3485,0.0,0.0,0.005
1,0,590,-0.0048606,-2000000.01219052,0,1,0.3485,0.0,0.0,0.005
1,0,600,-0.0048606,-0.01255655,0,1,0.3485,0.0,0.0,0.005
1,0,610,-0.0048606,-3000000.01213142,0,1,0.3485,0.0,0.0,0.005
1,0,620,-0.0048606,-2000000.01219694,0,1,0.3485,0.0,0.0,0.005
1,0,630,-0.0048606,-2000000.01204534,0,1,0.3485,0.0,0.0,0.005
1,0,640,-0.0048606,-5000000.0121628,0,1,0.3485,0.0,0.0,0.005
1,0,650,-0.0048606,-1000000.01120001,0,1,0.3485,0.0,0.0,0.005
1,0,660,-0.0048606,-2000000.01253299,0,1,0.3485,0.0,0.0,0.005
1,0,670,-0.0048606,-1000000.01243831,0,1,0.3485,0.0,0.0,0.005
1,0,680,-0.0048606,-0.01257157,0,1,0.3485,0.0,0.0,0.005
1,0,690,-0.0048606,-1000000.01226817,0,1,0.3485,0.0,0.0,0.005
1,0,700,-0.0048606,-3000000.01221336,0,1,0.3485,0.0,0.0,0.005
1,0,710,-0.0048606,-3000000.0118996,0,1,0.3485,0.0,0.0,0.005
1,0,720,-0.0048606,-2000000.01150976,0,1,0.3485,0.0,0.0,0.005
