seed,gen,best_fitness,mean_fitness,best_expr,node_count,accuracy,conv_bonus,parsimony,terms_t10
0,10,-0.00629755,-130000237.6003398,(((-1) ^ k) / ((k + k) - -1)),10,-0.00629755,1.0,0.05,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,20,-0.00129755,-57000298.07045421,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,30,-0.00129755,-50000353.79626653,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,40,-0.00129755,-46000288.44876786,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,50,-0.00129755,-59000323.50624346,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,60,-0.00129755,-70000287.00505278,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,70,-0.00129755,-48000385.67054474,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,80,-0.00129755,-56000295.58194052,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,90,-0.00129755,-66000322.48573576,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,100,-0.00129755,-53000298.03465609,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,110,-0.00129755,-44000225.38694184,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,120,-0.00129755,-70000250.56808028,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,130,-0.00129755,-60000287.18511581,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,140,-0.00129755,-45000286.06264525,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,150,-0.00129755,-71000221.08898821,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,160,-0.00129755,-62000345.55900676,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,170,-0.00129755,-49000312.90277276,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,180,-0.00129755,-62000228.5360413,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,190,-0.00129755,-43000238.02698601,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,200,-0.00129755,-74000303.3897883,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,210,-0.00129755,-73000284.30440575,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,220,-0.00129755,-69000304.88229094,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,230,-0.00129755,-41000323.30622025,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,240,-0.00129755,-50000214.76782951,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,250,-0.00129755,-84000272.98602547,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,260,-0.00129755,-79000301.63349627,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,270,-0.00129755,-43000287.69666936,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,280,-0.00129755,-45000279.26193716,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,290,-0.00129755,-52000373.30316244,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,300,-0.00129755,-62000241.06973063,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,310,-0.00129755,-67000308.5142196,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,320,-0.00129755,-71000292.16876726,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,330,-0.00129755,-61000245.32484922,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
0,340,-0.00129755,-44000271.10185735,((-1 ^ k) / ((k + k) - -1)),9,-0.00629755,1.0,0.045,"[1.0, -0.333333, 0.2, -0.142857, 0.111111, -0.090909, 0.076923, -0.066667, 0.058824, -0.052632]"
